number,name,from,to,frequency
15959,Kamrup Express,Howrah,Dibrugarh,daily
15657,Brahmaputra Mail,Old Delhi,Kamakhya,daily
15645,Dibrugarh Express (LTT),Mumbai LTT,Dibrugarh,biweekly
15605,Guwahati-Dibrugarh Intercity,Guwahati,Dibrugarh,daily
15609,Guwahati-Sairang Express,Guwahati,Sairang,daily
15926,Dibrugarh-Deogarh Express,Dibrugarh,Deoghar,weekly
15649,Agartala-Narangi Express,Agartala,Narangi,daily
12501,Kolkata-Agartala Garib Rath,Kolkata,Agartala,weekly
15675,NJP-Guwahati Intercity,New Jalpaiguri,Guwahati,daily
15669,Nagaland Express,Guwahati,Dibrugarh Town,daily
15911,Tinsukia-Naharlagun Express,Tinsukia,Naharlagun,triweekly
12047,GHY-North Lakhimpur Jan Shatabdi,Guwahati,North Lakhimpur,biweekly
12087,Naharlagun-Guwahati Shatabdi,Naharlagun,Guwahati,weekly
15949,Dibrugarh-Gomti Nagar Amrit Bharat,Dibrugarh,Gomti Nagar,weekly
12097,Agartala-Khongsang Jan Shatabdi,Agartala,Khongsang (Manipur),triweekly
