Station Code,Station Name,Longitude,Latitude,State,District
NFK,NEW FARAKKA JN,87.91577487,24.79464226,West Bengal,Murshidabad
SM,SAMSI,88.01014447,25.27653963,West Bengal,Malda
HJI,HOJAI,92.85136872,26.00205697,Assam,Hojai
SLGR,SIMALUGURI JN,94.75637326,26.91767857,Assam,Sivasagar
ALJN,ALIGARH JN,78.07454502,27.88938396,Uttar Pradesh,Aligarh
MZP,MIRZAPUR,82.56912724,25.13501263,Uttar Pradesh,Mirzapur
CLG,KAHALGAON,87.23411598,25.26257635,Bihar,Bhagalpur
BPB,BADARPUR JN,92.55575373,24.86537059,Assam,Karimganj
NMGY,NUMALIGARH,93.86278669,26.60953274,Assam,Golaghat
KTCH,KAITHALKUCHI,91.33981685,26.45044408,Assam,Nalbari
NMX,NEW MAYNAGURI,88.82236797,26.57796042,West Bengal,Jalpaiguri
TIHU,TIHU,91.26778053,26.47177088,Assam,Nalbari
NTSK,NEW TINSUKIA JN,95.33512639,27.48003811,Assam,Tinsukia
CNB,KANPUR CENTRAL,80.35124330,26.45386130,Uttar Pradesh,Kanpur Nagar
GNT,GUNTUR JN,80.44304324,16.30041362,Andhra Pradesh,Guntur
VSKP,VISAKHAPATNAM,83.29043253,17.72143060,Andhra Pradesh,Visakhapatnam
GLGT,GOLAGHAT,93.96194553,26.50851292,Assam,Golaghat
JTTN,JORHAT TOWN,94.21627830,26.75015472,Assam,Jorhat
DGHR,DEOGHAR,86.69608269,24.51191999,Jharkhand,Deoghar
KOAA,KOLKATA,88.38426335,22.60144936,West Bengal,Kolkata
KLD,KHALILABAD,83.05510195,26.77508543,Uttar Pradesh,Sant Kabir Nagar
CHZ,CHARLAPALLI,78.60657610,17.45856840,Telangana,Medchal-Malkajgiri
BAM,BRAHMAPUR,84.79705415,19.29638418,Odisha,Ganjam
SCL,SILCHAR,92.79218377,24.83056086,Assam,Cachar
BXJ,BOKAJAN,93.78036737,26.01937112,Assam,Karbi Anglong
SPQ,SORUPETA,91.07728767,26.49951791,Assam,Barpeta
DEOS,DEORIA SADAR,83.78200842,26.50799724,Uttar Pradesh,Deoria
BBK,BARABANKI JN,81.17916629,26.93410927,Uttar Pradesh,Barabanki
KWAE,KATWA,88.12376237,23.64007832,West Bengal,Purba Bardhaman
MLDT,MALDA TOWN,88.12993741,25.01686560,West Bengal,Malda
RNY,RANGIYA JN,91.60651494,26.44684619,Assam,Kamrup
MXN,MARIANI JN,94.30958847,26.65318695,Assam,Jorhat
AGI,AMGURI,94.52419115,26.81281669,Assam,Sivasagar
BOJ,BHOJO,95.03270489,27.06367265,Assam,Charaideo
PSA,PALASA,84.42243220,18.75666752,Andhra Pradesh,Srikakulam
KGP,KHARAGPUR JN,87.32596736,22.34170627,West Bengal,Paschim Medinipur
BBGN,BARUA BAMUNGAON,93.98341268,26.66904372,Assam,Golaghat
GLPT,GOALPARA TOWN,90.62112738,26.12715093,Assam,Goalpara
GOM,GOGAMUKH,94.31716489,27.44068997,Assam,Dhemaji
HJP,HAJIPUR JN,85.21522654,25.70183320,Bihar,Vaishali
SEE,SONPUR JN,85.16595529,25.69760076,Bihar,Saran
KAMG,KAMAKHYAGURI,89.72954327,26.47670161,West Bengal,Alipurduar
GOGH,GOSSAIGAON HAT,89.97863183,26.42971585,Assam,Kokrajhar
CPK,CHAPARMUKH JN,92.51227079,26.20341634,Assam,Nagaon
LMG,LUMDING JN,93.17551760,25.74965558,Assam,Hojai
SBG,SAHIBGANJ JN,87.63429639,25.24075078,Jharkhand,Sahibganj
SRTN,SIBSAGAR TOWN,94.64314726,26.99026972,Assam,Sivasagar
MRHT,MORANHAT,94.91932721,27.18291078,Assam,Charaideo
NHGJ,NEW HARANGAJAO,92.86803647,25.11261917,Assam,Dima Hasao
KTX,KATAKHAL JN,92.62663001,24.83553895,Assam,Hailakandi
KUGT,KUMARGHAT,92.03505145,24.15102906,Tripura,Unakoti
MUR,MANKAPUR JN,82.22697674,27.03961068,Uttar Pradesh,Gonda
GHY,GUWAHATI,91.74955490,26.18249906,Assam,Kamrup Metropolitan
BXP,BARPATHAR,93.89914899,26.27403352,Assam,Golaghat
ARA,ARA JN,84.66140526,25.54843705,Bihar,Bhojpur
PNBE,PATNA JN,85.13845570,25.60240036,Bihar,Patna
BLPR,BADULIPAR,93.87466638,26.64682226,Assam,Golaghat
RNGG,RANGALITING,93.91841918,26.65706340,Assam,Golaghat
HMY,HARMUTI,93.86064563,27.11922896,Assam,Lakhimpur
HSDA,HANSDIHA,87.08558529,24.61155411,Jharkhand,Dumka
GKP,GORAKHPUR JN,83.38191058,26.75970057,Uttar Pradesh,Gorakhpur
NDAE,NABADWIP DHAM,88.35681536,23.39783575,West Bengal,Nadia
NJP,NEW JALPAIGURI,88.44280916,26.68284637,West Bengal,Jalpaiguri
DQG,DHUPGURI,88.99381327,26.57424079,West Bengal,Jalpaiguri
KOJ,KOKRAJHAR,90.27276748,26.40461606,Assam,Kokrajhar
NBQ,NEW BONGAIGAON,90.53537069,26.47580358,Assam,Bongaigaon
SZR,SARUPATHAR,93.86257606,26.19587385,Assam,Golaghat
JMP,JAMALPUR JN,86.49290953,25.31489236,Bihar,Munger
SGG,SULTANGANJ,86.73550669,25.24163686,Bihar,Bhagalpur
KUR,KHURDA ROAD JN,85.70871575,20.15408946,Odisha,Khordha
CMA,CINNAMARA,94.23659472,26.70754676,Assam,Jorhat
NCH,NAKACHARI,94.39388782,26.70776779,Assam,Jorhat
HKD,HAILAKANDI,92.56783094,24.68142080,Assam,Hailakandi
JMRA,JAMIRA,92.52785470,24.31840108,Assam,Hailakandi
RPAN,RANGAPARA NORTH,92.68307702,26.82123322,Assam,Sonitpur
NNGE,NARANGI,91.83334593,26.18211407,Assam,Kamrup Metropolitan
DGLE,DHULIAN GANGA,87.93846381,24.67207217,West Bengal,Murshidabad
NCB,NEW COOCH BEHAR,89.46899655,26.35291216,West Bengal,Cooch Behar
BJF,BIJNI,90.70758752,26.49732123,Assam,Chirang
BLMR,BHALUKMARA,94.12329150,26.66940108,Assam,Jorhat
BST,BASTI,82.76918252,26.81541547,Uttar Pradesh,Basti
SALE,SALAR,88.11050810,23.77373163,West Bengal,Murshidabad
AZ,AZIMGANJ JN,88.25989721,24.23021924,West Bengal,Murshidabad
JPE,JALPAIGURI ROAD,88.70943781,26.55915001,West Bengal,Jalpaiguri
BGP,BHAGALPUR,86.97272046,25.24153324,Bihar,Bhagalpur
BBS,BHUBANESWAR,85.84361704,20.26675398,Odisha,Khordha
JID,JAGI ROAD,92.19738326,26.12520581,Assam,Morigaon
KUTI,KHUMTAI,93.85028787,26.62450434,Assam,Golaghat
DMC,DHEMAJI,94.54259986,27.48935335,Assam,Dhemaji
BUP,BARIARPUR,86.57503564,25.28091536,Bihar,Munger
HWH,HOWRAH JN,88.34261280,22.58334225,West Bengal,Howrah
KGLE,KHAGRAGHAT ROAD,88.22643883,24.10659514,West Bengal,Murshidabad
BOE,BARSOI JN,87.92378614,25.65068440,Bihar,Katihar
PBL,PATHSALA,91.17776688,26.49747203,Assam,Bajali
NLV,NALBARI,91.43907603,26.45071303,Assam,Nalbari
PNC,PATNA SAHEB,85.23083995,25.58608082,Bihar,Patna
AHA,ABHAIPUR,86.32234058,25.21560944,Bihar,Lakhisarai
MYD,MANDERDISA,93.12763677,25.71985070,Assam,Dima Hasao
NKMG,NEW KARIMGANJ,92.39474226,24.84313839,Assam,Karimganj
TSK,TINSUKIA JN,95.35773424,27.48689379,Assam,Tinsukia
SV,SIWAN JN,84.35939108,26.21110332,Uttar Pradesh,Siwan
BNGN,BONGAIGAON,90.56097038,26.47860525,Assam,Bongaigaon
BPRD,BARPETA ROAD,90.96474963,26.50214681,Assam,Barpeta
KYQ,KAMAKHYA,91.69145991,26.15718124,Assam,Kamrup Metropolitan
LKA,LANKA,92.95761350,25.91551841,Assam,Hojai
NHK,NAHARKATIYA,95.32975453,27.28951845,Assam,Dibrugarh
CHE,SRIKAKULAM ROAD,83.90453940,18.40941955,Andhra Pradesh,Srikakulam
BGND,BAGINADI,94.18267069,27.39906610,Assam,Lakhimpur
SBE,SORBHOG JN,90.88441898,26.49410318,Assam,Barpeta
SKB,SHIKOHABAD JN,78.57576699,27.08620226,Uttar Pradesh,Firozabad
BHW,BARHARWA JN,87.77441020,24.85902167,Jharkhand,Sahibganj
BLS,BALASORE,86.92028477,21.50107204,Odisha,Balasore
DKAE,DANKUNI,88.29056055,22.67804526,West Bengal,Hooghly
AGTL,AGARTALA,91.27829993,23.79297830,Tripura,West Tripura
CGS,CHANGSARI,91.69223515,26.25853745,Assam,Kamrup
CPR,CHHAPRA,84.72683527,25.78676152,Bihar,Saran
ABKA,AMBIKA KALNA,88.35383994,23.21274333,West Bengal,Purba Bardhaman
NILE,NIMTITA,88.00929865,24.62423572,West Bengal,Murshidabad
DLN,DILDARNAGAR JN,83.66850885,25.41950213,Uttar Pradesh,Ghazipur
BXR,BUXAR,83.98084666,25.56105486,Bihar,Buxar
CTC,CUTTACK,85.90015333,20.46392699,Odisha,Cuttack
NHLG,NEW HAFLONG,93.03192086,25.14808239,Assam,Dima Hasao
SANG,SAIRANG,92.65088996,23.79805389,Mizoram,Aizawl
NHLN,NAHARLAGUN,93.70944039,27.13099543,Arunachal Pradesh,Papum Pare
DMV,DIMAPUR,93.72870769,25.90730409,Nagaland,Dimapur
FKG,FURKATING JN,94.00212048,26.46470057,Assam,Golaghat
MBG,MAIBANG,93.13598679,25.30489634,Assam,Dima Hasao
LLBR,LALABAZAR,92.61039740,24.56217396,Assam,Hailakandi
KGG,KHAGARIA JN,86.46719330,25.50614690,Bihar,Khagaria
BDLN,BORDOLONI,94.43788553,27.42335830,Assam,Dhemaji
FKM,FAKIRAGRAM JN,90.18557797,26.36389564,Assam,Kokrajhar
NAM,NAMRUP,95.31448661,27.19677773,Assam,Dibrugarh
DBRG,DIBRUGARH,94.93738248,27.46452743,Assam,Dibrugarh
TDL,TUNDLA JN,78.23353833,27.20775284,Uttar Pradesh,Firozabad
KWM,KAMPUR,92.65863100,26.16027493,Assam,Nagaon
NLP,NORTH LAKHIMPUR,94.11091315,27.25420787,Assam,Lakhimpur
ULG,UDALGURI,92.09720375,26.74468117,Assam,Udalguri
KIR,KATIHAR JN,87.56557250,25.54820152,Bihar,Katihar
DMR,DHARMANAGAR,92.16987196,24.37000715,Tripura,North Tripura
BDC,BANDEL JN,88.37823320,22.92347477,West Bengal,Hooghly
JRLE,JANGIPUR ROAD,88.04132680,24.45913241,West Bengal,Murshidabad
FLK,FALAKATA,89.19188061,26.53871562,West Bengal,Alipurduar
DPU,DIPHU,93.43852676,25.83762239,Assam,Karbi Anglong
DJG,DULIAJAN,95.30674471,27.36734600,Assam,Dibrugarh
KIUL,KIUL JN,86.10550557,25.17114924,Bihar,Lakhisarai
PPT,PIRPAINTI,87.42112832,25.29006429,Bihar,Bhagalpur
BZA,VIJAYAWADA JN,80.61995076,16.51875262,Andhra Pradesh,NTR
NNA,NAUGACHIA,87.09358750,25.38503283,Bihar,Bhagalpur
MDLE,MANDAR HILL,87.02629792,24.80595462,Bihar,Banka
MHUR,MOHANPUR,86.78595801,24.48928102,Jharkhand,Deoghar
DMGN,DHAMALGAON,94.83755439,27.38729251,Assam,Dibrugarh
TNL,TANGLA,91.90518653,26.65700600,Assam,Udalguri
BJU,BARAUNI JN,85.98790880,25.46295950,Bihar,Begusarai
